,nearest stattion,number of stops within 2kms
0,658.3921556728086,3
1,Nothing within a 2km radius,0
2,1563.5431628009574,1
3,Nothing within a 2km radius,0
4,961.7112900034336,2
5,253.17916357623056,1
6,Nothing within a 2km radius,0
7,Nothing within a 2km radius,0
8,1892.0947958175425,1
9,806.7273722112353,1
10,1563.5431628009574,1
11,Nothing within a 2km radius,0
12,1665.5769107024414,2
13,546.4562185661684,3
14,729.7702573695361,2
15,1438.135753497679,1
16,Nothing within a 2km radius,0
17,Nothing within a 2km radius,0
18,Nothing within a 2km radius,0
19,Nothing within a 2km radius,0
20,1363.6836461333805,1
21,606.9296572180052,2
22,321.1458341596503,2
23,1159.738908690297,2
24,Nothing within a 2km radius,0
25,Nothing within a 2km radius,0
26,253.17916357623056,1
27,Nothing within a 2km radius,0
28,Nothing within a 2km radius,0
29,Nothing within a 2km radius,0
30,Nothing within a 2km radius,0
31,988.5610467589121,1
32,303.3097250154605,2
33,Nothing within a 2km radius,0
34,Nothing within a 2km radius,0
35,Nothing within a 2km radius,0
36,Nothing within a 2km radius,0
37,253.17916357623056,1
38,Nothing within a 2km radius,0
39,384.7767585942027,2
40,117.29607051751475,3
41,Nothing within a 2km radius,0
42,362.3946994552714,3
43,Nothing within a 2km radius,0
44,1398.047397343118,1
45,599.3710156412301,1
46,Nothing within a 2km radius,0
47,1885.4104976337708,1
48,1887.8925484848153,1
49,Nothing within a 2km radius,0
50,Nothing within a 2km radius,0
51,Nothing within a 2km radius,0
52,1474.9826063005878,1
53,Nothing within a 2km radius,0
54,1177.7759500480543,1
55,Nothing within a 2km radius,0
56,492.87805621135334,3
57,Nothing within a 2km radius,0
58,905.0341231485082,2
59,Nothing within a 2km radius,0
60,235.00163703515327,2
61,321.1458341596503,2
62,685.1378767557819,2
63,Nothing within a 2km radius,0
64,928.5572050696959,1
65,246.3975694921855,2
66,Nothing within a 2km radius,0
67,Nothing within a 2km radius,0
68,945.2360955974142,2
69,Nothing within a 2km radius,0
70,Nothing within a 2km radius,0
71,Nothing within a 2km radius,0
72,246.3975694921855,2
73,594.1417554657015,1
74,515.5426014400774,2
75,1433.0075792871794,1
76,890.8453309748571,2
77,Nothing within a 2km radius,0
78,Nothing within a 2km radius,0
79,Nothing within a 2km radius,0
80,Nothing within a 2km radius,0
81,Nothing within a 2km radius,0
82,Nothing within a 2km radius,0
83,Nothing within a 2km radius,0
84,Nothing within a 2km radius,0
85,1914.6706085259275,2
86,Nothing within a 2km radius,0
87,Nothing within a 2km radius,0
88,Nothing within a 2km radius,0
89,Nothing within a 2km radius,0
90,568.1453863999328,1
91,786.5790510541389,1
92,485.4506231440132,1
93,571.2625363284825,2
94,Nothing within a 2km radius,0
95,Nothing within a 2km radius,0
96,Nothing within a 2km radius,0
97,Nothing within a 2km radius,0
98,1188.62172281602,2
99,1820.3089826788223,1
100,Nothing within a 2km radius,0
101,810.0984150594242,2
102,1878.4393801656468,2
103,186.58551675406378,1
104,Nothing within a 2km radius,0
105,Nothing within a 2km radius,0
106,Nothing within a 2km radius,0
107,1492.5110796302424,1
108,546.4562185661684,3
109,390.3455024924048,2
110,664.9387778802889,2
111,Nothing within a 2km radius,0
112,Nothing within a 2km radius,0
113,Nothing within a 2km radius,0
114,1083.7309259453032,1
115,Nothing within a 2km radius,0
116,1433.0075792871794,1
117,506.42973325076235,1
118,1878.7753511616763,1
119,Nothing within a 2km radius,0
120,546.4562185661684,3
121,379.59392733994054,2
122,Nothing within a 2km radius,0
123,546.4562185661684,3
124,916.9993435588354,1
125,516.4030656617664,1
126,Nothing within a 2km radius,0
127,713.7388103192918,2
128,Nothing within a 2km radius,0
129,Nothing within a 2km radius,0
130,1083.7309259453032,1
131,Nothing within a 2km radius,0
132,1720.2403182054318,2
133,145.16138930161824,1
134,Nothing within a 2km radius,0
135,Nothing within a 2km radius,0
136,Nothing within a 2km radius,0
137,Nothing within a 2km radius,0
138,1727.7241049886482,1
139,Nothing within a 2km radius,0
140,Nothing within a 2km radius,0
141,Nothing within a 2km radius,0
142,Nothing within a 2km radius,0
143,Nothing within a 2km radius,0
144,Nothing within a 2km radius,0
145,1184.3019144976336,1
146,1820.3089826788223,1
147,972.3049571254109,7
148,Nothing within a 2km radius,0
149,Nothing within a 2km radius,0
150,Nothing within a 2km radius,0
