,nearest stattion,number of stops within 2kms
0,476.5069862,14
1,235.1928904,14
2,514.4319047,9
3,91.43100256,10
4,573.1773792,9
5,870.2014419,7
6,425.7852482,13
7,1351.106299,4
8,1420.364657,3
9,Nothing within a 2km radius,0
10,Nothing within a 2km radius,0
11,Nothing within a 2km radius,0
12,Nothing within a 2km radius,0
13,Nothing within a 2km radius,0
14,Nothing within a 2km radius,0
15,Nothing within a 2km radius,0
16,Nothing within a 2km radius,0
17,Nothing within a 2km radius,0
18,Nothing within a 2km radius,0
19,Nothing within a 2km radius,0
20,Nothing within a 2km radius,0
21,Nothing within a 2km radius,0
22,Nothing within a 2km radius,0
23,Nothing within a 2km radius,0
24,Nothing within a 2km radius,0
25,Nothing within a 2km radius,0
26,Nothing within a 2km radius,0
27,Nothing within a 2km radius,0
28,Nothing within a 2km radius,0
29,Nothing within a 2km radius,0
30,Nothing within a 2km radius,0
31,1503.531054,1
32,243.4398497,23
33,122.41769,20
34,399.4609732,8
35,352.2117371,14
36,79.48962655,24
37,494.0755498,7
38,328.0212788,18
39,483.2245321,14
40,219.9509406,22
41,1228.431793,4
42,409.8403201,11
43,371.5435708,13
44,1136.569526,4
45,162.1707738,16
46,261.4506036,17
47,417.3535351,10
48,569.1732951,13
49,383.4858618,9
50,199.082631,10
51,476.3967943,25
52,431.0098115,13
53,354.0356944,9
54,245.5593394,28
55,503.3603117,15
56,387.6076195,8
57,387.6076195,8
58,310.215511,10
59,194.4945958,11
60,310.215511,10
61,310.215511,10
62,210.6755464,11
63,149.4308708,11
64,157.3502737,25
65,79.48962655,24
66,194.4945958,11
67,Nothing within a 2km radius,0
68,194.4945958,11
69,310.215511,10
70,79.48962655,24
71,167.459568,25
72,79.48962655,24
73,523.2134472,16
74,157.3502737,25
75,604.6636999,15
76,305.5982043,10
77,194.4945958,11
78,210.6755464,11
79,210.6755464,11
80,625.7703119,15
81,523.2134472,16
82,210.6755464,11
83,497.7765046,16
84,421.851869,7
85,625.7703119,15
86,362.7501052,13
87,625.7703119,15
88,210.6755464,11
89,604.6636999,15
90,447.812716,9
91,447.812716,9
92,305.5982043,10
93,523.2134472,16
94,371.9535346,13
95,371.9535346,13
96,497.7765046,16
97,1051.375041,6
98,310.215511,10
99,497.7765046,16
100,497.7765046,16
101,523.2134472,16
102,305.5982043,10
103,464.8965348,8
104,275.7615798,11
105,737.4903658,5
106,157.3502737,25
107,310.215511,10
108,387.6076195,8
109,329.6712721,10
110,387.6076195,8
111,379.4500795,12
112,643.773545,5
113,523.2134472,16
114,210.6755464,11
115,501.2868812,9
116,393.3396048,13
117,274.0305198,19
118,79.48962655,24
119,Nothing within a 2km radius,0
120,195.8671167,11
121,79.48962655,24
122,1732.467865,4
123,393.3396048,13
124,625.7703119,15
125,310.215511,10
126,563.0410427,9
127,275.7615798,11
128,125.4986137,8
129,34.41481335,8
130,34.41481335,8
131,497.7765046,16
132,232.7288155,25
133,194.4945958,11
134,310.215511,10
135,305.5982043,10
136,275.7615798,11
137,305.5982043,10
138,387.6076195,8
139,36.60009509,23
140,391.7924999,9
141,Nothing within a 2km radius,0
142,497.7765046,16
143,481.0563322,15
144,149.4308708,11
145,310.215511,10
146,194.4945958,11
147,497.7765046,16
148,371.9535346,13
149,497.7765046,16
150,305.5982043,10
151,745.3364475,4
152,305.5982043,10
153,157.3502737,25
154,497.7765046,16
155,Nothing within a 2km radius,0
156,194.4945958,11
157,1608.593425,2
158,1516.593868,2
159,497.7765046,16
160,232.7288155,25
161,466.9307983,4
162,210.6755464,11
163,525.8582021,5
164,183.8773991,19
165,681.197322,5
166,194.4945958,11
167,310.215511,10
168,79.48962655,24
169,460.6154595,7
170,412.8538645,7
171,1317.79764,3
172,705.6730439,6
173,Nothing within a 2km radius,0
174,305.5982043,10
175,497.7765046,16
176,523.2134472,16
177,589.0853174,5
178,523.2134472,16
179,458.7750318,13
180,305.5982043,10
181,295.9262288,10
182,334.494433,9
183,275.7615798,11
184,1231.856868,1
185,210.6755464,11
186,329.6712721,10
187,393.3396048,13
188,497.7765046,16
189,210.6755464,11
190,393.3396048,13
191,481.0563322,15
192,334.494433,9
193,497.7765046,16
194,497.7765046,16
195,210.6755464,11
196,523.2134472,16
197,497.7765046,16
198,393.3396048,13
199,380.1096345,9
200,230.479278,11
201,497.7765046,16
202,497.7765046,16
203,497.7765046,16
204,497.7765046,16
205,497.7765046,16
206,62.1381121,12
207,62.1381121,12
208,497.7765046,16
209,393.3396048,13
210,488.0327424,7
211,497.7765046,16
212,523.2134472,16
213,523.2134472,16
214,497.7765046,16
215,497.7765046,16
216,698.0666375,7
217,275.7615798,11
218,712.2729204,5
219,457.4551617,12
220,Nothing within a 2km radius,0
221,497.7765046,16
222,497.7765046,16
223,497.7765046,16
224,497.7765046,16
225,737.7660247,6
226,467.9752165,10
227,604.6636999,15
228,334.494433,9
229,387.6076195,8
230,387.6076195,8
231,497.7765046,16
232,310.215511,10
233,630.8774859,13
234,410.9860145,12
235,719.7337216,12
236,665.6447349,5
237,674.2528715,12
238,1311.952189,3
239,79.48962655,24
240,Nothing within a 2km radius,0
241,497.7765046,16
242,497.7765046,16
243,625.7703119,15
244,563.0410427,9
245,563.0410427,9
246,375.0365238,5
247,464.4680465,9
248,305.5982043,10
249,310.215511,10
250,305.5982043,10
251,305.5982043,10
252,494.7874385,12
253,Nothing within a 2km radius,0
254,351.3049512,4
255,477.3048099,7
256,665.6447349,5
257,146.057872,11
258,Nothing within a 2km radius,0
259,643.773545,5
260,79.48962655,24
261,305.5982043,10
262,79.48962655,24
263,79.48962655,24
264,79.48962655,24
265,274.1820234,11
266,79.48962655,24
267,665.6447349,5
268,676.4680213,3
269,274.1820234,11
270,79.48962655,24
271,210.6755464,11
272,274.1820234,11
273,210.6755464,11
274,707.7066963,16
275,707.7066963,16
276,310.215511,10
277,Nothing within a 2km radius,0
278,Nothing within a 2km radius,0
279,1198.234939,3
280,518.2592751,9
281,194.4945958,11
282,329.6712721,10
283,712.9729316,6
284,333.0238623,8
285,329.6712721,10
286,458.0955538,4
287,149.4308708,11
288,274.1820234,11
289,313.063443,24
290,389.0327686,4
291,1840.133685,1
292,458.0955538,4
293,Nothing within a 2km radius,0
294,353.604039,6
295,36.16032187,5
296,Nothing within a 2km radius,0
297,310.215511,10
298,463.9038432,7
299,Nothing within a 2km radius,0
300,310.215511,10
301,329.6712721,10
302,329.6712721,10
303,1054.090911,5
304,329.6712721,10
305,79.48962655,24
306,Nothing within a 2km radius,0
307,Nothing within a 2km radius,0
308,310.215511,10
309,201.6717288,11
310,79.48962655,24
311,Nothing within a 2km radius,0
