,nearest stattion,number of stops within 2kms
0,1032.8897166068814,6
1,348.15147675063815,8
2,674.4697817200602,21
3,734.4777383003155,7
4,728.161535292582,15
5,847.7349119013704,9
6,749.850424228764,8
7,530.4527728269534,18
8,1619.1786682778393,2
9,189.25777077821508,5
10,730.5661595399667,5
11,1132.0853771006914,3
12,1270.2517965015586,1
13,922.9764931781473,5
14,1040.2415745742946,3
15,675.0976939349653,11
16,433.3977806318372,5
17,734.4777383003155,7
18,451.3645299376343,6
19,530.4527728269534,18
20,571.8733188530151,16
21,469.22292507241866,23
22,469.22292507241866,23
23,232.07493114765632,17
24,232.07493114765632,17
25,243.43984968503847,23
26,804.3613474985856,8
27,399.4609731825315,8
28,527.2845594037619,20
29,356.4269361507338,16
30,352.2117371366189,14
31,409.84032007699807,11
32,661.9963560959015,13
33,494.0755498034326,7
34,255.44878343451296,19
35,328.02127875834447,18
36,79.32325183862874,20
37,483.2245320838025,14
38,79.32325183862874,20
39,124.63745456103774,20
40,79.32325183862874,20
41,383.0896293929213,10
42,383.0896293929213,10
43,747.9494585527106,8
44,363.0952620554361,17
45,643.6349961147082,9
46,375.81493546313857,17
47,571.50417387739,19
48,539.8540555507307,15
49,753.2492269856523,7
50,642.923315456054,13
51,220.16702873420488,15
52,162.70507795931243,15
53,609.3448428317312,7
54,363.0952620554361,17
55,605.6852559865948,10
56,220.16702873420488,15
57,573.1773792308652,9
58,753.2492269856523,7
59,753.2492269856523,7
60,527.05376782754,11
61,561.8691164193543,11
62,573.1773792308652,9
63,450.4847869500375,17
64,793.426252304507,7
65,793.426252304507,7
66,1136.569526189006,4
67,487.11763416249374,16
68,487.11763416249374,16
69,552.446275969845,14
70,1005.8266893472778,6
71,162.70507795931243,15
72,687.0654348066131,7
73,1130.7565261682803,7
74,753.2492269856523,7
75,1178.5654926183092,4
76,263.86136650989926,10
77,199.08263100104278,10
78,671.79344862876,9
79,487.11763416249374,16
80,900.8394621044415,7
81,318.7269917630991,9
82,318.45350997926533,10
83,1154.8091912531115,7
84,545.7493488355688,18
85,175.09013731017237,17
86,604.130113375409,16
87,406.19240883607205,14
88,1005.8266893472778,6
89,239.66906422509294,10
90,356.1619679652755,9
91,421.4800751805346,11
92,421.4800751805346,11
93,407.24044762416565,8
94,364.8577560137168,9
95,364.8577560137168,9
96,461.86931871212903,13
97,1056.8024837817409,6
98,628.4468472539027,17
99,255.44878343451296,19
100,432.6640495508874,9
101,287.62842734299403,19
102,331.36548613461525,19
103,399.4609731825315,8
104,563.6052814605532,21
105,436.09387767568336,9
106,190.8041314926359,14
107,593.3768591181168,8
108,765.9785512564262,6
109,765.9785512564262,6
110,318.45350997926533,10
111,318.45350997926533,10
112,527.05376782754,11
113,318.90503529568747,13
114,520.7341197927157,10
115,752.3540850672525,9
116,132.17268760835427,16
117,370.0077433580927,9
118,620.3177374517489,14
119,752.3540850672525,9
120,177.39580186090663,9
121,232.7009013390653,8
122,177.39580186090663,9
123,177.39580186090663,9
124,177.39580186090663,9
125,367.7123370724278,8
126,367.7123370724278,8
127,177.39580186090663,9
128,129.44006648964137,10
129,177.39580186090663,9
130,145.05606414660102,8
131,177.39580186090663,9
132,213.10930174022033,11
133,592.6194863718449,7
134,377.39461614684626,18
135,559.6392223663732,18
136,592.6194863718449,7
137,440.26686852211475,14
138,642.923315456054,13
139,430.9786444002364,18
140,318.45350997926533,10
141,765.9785512564262,6
142,765.9785512564262,6
143,799.2171342539992,7
144,818.8321745554463,8
145,704.3906886401667,9
146,767.8192123072718,8
147,729.0961238761171,8
148,263.86136650989926,10
149,573.1773792308652,9
150,258.83684148531756,10
151,255.33884369695517,19
152,440.26686852211475,14
153,188.84607516470479,11
154,641.4572674074434,7
155,523.8710373104624,7
156,459.2491603948397,11
157,434.59624494680656,7
158,264.64135141033455,11
159,1253.6650398206502,6
160,1253.6650398206502,6
161,968.5992152307057,8
162,49.65349224316717,18
163,49.65349224316717,18
164,287.7513346460128,13
165,287.7513346460128,13
166,287.7513346460128,13
167,552.446275969845,14
168,451.5147032802471,14
169,672.4818051516936,7
170,39.81625739261669,10
171,287.7513346460128,13
172,39.81625739261669,10
173,552.446275969845,14
174,249.1994101212919,9
175,214.87846516255794,10
176,468.10962402784287,13
177,474.32462362867454,15
178,262.7569944261295,12
179,470.58049993012884,15
180,442.1162129373813,8
181,470.58049993012884,15
182,336.97898680113985,20
183,470.58049993012884,15
184,1051.9169136190833,7
185,573.1773792308652,9
186,355.72334301008067,10
187,262.7569944261295,12
188,372.8220610599311,14
189,474.32462362867454,15
190,134.40366238330043,15
191,1253.6650398206502,6
192,1253.6650398206502,6
193,106.34278667165242,17
194,356.1619679652755,9
195,759.6633692077255,8
196,759.6633692077255,8
197,318.45350997926533,10
198,552.446275969845,14
199,585.7150234703204,7
200,818.8954182844672,7
201,549.2512673807587,17
202,1056.8024837817409,6
203,474.32462362867454,15
204,189.0492879892296,11
205,552.446275969845,14
206,533.7940284142583,13
207,539.8540555507307,15
208,539.8540555507307,15
209,459.5234856297922,8
210,223.30637509416042,16
211,172.36018730736362,19
212,539.8540555507307,15
213,765.9785512564262,6
214,765.9785512564262,6
215,356.1619679652755,9
216,765.9785512564262,6
217,403.1411381623443,13
218,765.9785512564262,6
219,348.3127544874262,14
220,765.9785512564262,6
221,765.9785512564262,6
222,414.8775294076788,14
223,255.8877254494369,11
224,896.7789872576585,7
225,552.446275969845,14
226,494.0755498034326,7
227,708.7253017976747,8
228,539.8540555507307,15
229,332.312490923584,17
230,621.094562443711,16
231,332.312490923584,17
232,367.7123370724278,8
233,137.81198056921838,13
234,533.1605727047657,8
235,533.1605727047657,8
236,430.20728005662363,11
237,398.00407974654667,18
238,356.41858801005276,18
239,539.8540555507307,15
240,356.1619679652755,9
241,287.62842734299403,19
242,699.6257627096585,8
243,441.7952957756901,12
244,576.8768254594329,7
245,563.9731573323949,7
246,477.1691415103213,8
247,459.904801616865,7
248,753.2492269856523,7
249,759.6633692077255,8
250,759.6633692077255,8
251,753.2492269856523,7
252,1056.8024837817409,6
253,188.84607516470479,11
254,403.318181565584,15
255,678.274276417481,8
256,1015.1472328275037,6
257,208.6461059523848,18
258,403.318181565584,15
259,15.656106137573145,14
260,538.145446229334,9
261,220.16702873420488,15
262,1015.1472328275037,6
263,314.8727446326826,11
264,262.2692591643681,10
265,1015.1472328275037,6
266,226.0180098018681,15
267,623.2881039468183,8
268,570.0538897454708,8
269,680.8321219068276,8
270,552.8605818272937,14
271,569.3142711315223,9
272,569.3142711315223,9
273,262.2692591643681,10
274,583.8031657965879,8
275,318.45350997926533,10
276,415.93621017866116,10
277,1015.1472328275037,6
278,527.05376782754,11
279,680.8321219068276,8
280,264.64135141033455,11
281,552.8605818272937,14
282,253.5876530505412,10
283,607.4721939339469,12
284,409.16438742734846,18
285,552.8605818272937,14
286,430.20728005662363,11
287,304.94511855872355,10
288,117.38725313168925,18
289,1090.0110701793471,7
290,1090.0110701793471,7
291,527.05376782754,11
292,527.05376782754,11
293,569.3142711315223,9
294,1066.6858531574694,7
295,397.3585243162676,8
296,425.78524824161406,13
297,425.78524824161406,13
298,331.36548613461525,19
299,583.8031657965879,8
300,554.8094927866724,15
301,410.38915604456884,12
302,170.531905903847,10
303,776.6826568747141,8
304,410.38915604456884,12
305,618.7985159493629,9
306,330.47594425254425,8
307,496.13722024136604,12
308,384.96925187173593,19
309,614.5335378516618,8
310,414.404935393577,9
311,660.9975298530001,7
312,626.9620566832843,11
313,287.62842734299403,19
314,875.1934800287584,6
315,287.62842734299403,19
316,464.37082276675727,8
317,1284.9752604575638,7
318,1284.9752604575638,7
319,199.08263100104278,10
320,799.2171342539992,7
321,310.2360262644973,17
322,125.31643627339903,10
323,310.3311663562129,14
324,255.8877254494369,11
325,255.8877254494369,11
326,255.44878343451296,19
327,255.8877254494369,11
328,255.8877254494369,11
329,255.8877254494369,11
330,150.40890220781387,17
331,412.0966272920867,15
332,235.30765391702295,10
333,573.1773792308652,9
334,570.0538897454708,8
335,468.05104793487715,14
336,1015.1472328275037,6
337,509.57334208932787,18
338,339.9353552651618,13
339,412.44637962756445,9
340,644.0316222344125,11
341,316.7888653566595,9
342,338.2669663297125,19
343,316.7888653566595,9
344,298.9847770978615,11
345,315.218811848379,12
346,412.0966272920867,15
347,371.1486894840585,17
348,403.318181565584,15
349,442.74951858412834,19
350,448.4350990058451,13
351,316.7888653566595,9
352,212.56809482105854,11
353,494.69747313610856,8
354,453.88799353002923,15
355,496.7506578570448,13
356,490.99366125068764,14
357,410.0619979066416,15
358,217.15584871209956,12
359,641.1366705127984,8
360,620.3177374517489,14
361,641.1366705127984,8
362,473.54082764561923,8
363,466.0528021087886,6
364,143.7333618333987,10
365,434.59624494680656,7
366,363.0952620554361,17
367,77.78567866110822,17
368,726.643333708701,8
369,753.2492269856523,7
370,726.643333708701,8
371,753.2492269856523,7
372,668.291458707645,8
373,1284.9752604575638,7
374,668.291458707645,8
375,369.8007701723595,9
376,369.8007701723595,9
377,135.62259378684743,20
378,118.2929017538991,14
379,539.8540555507307,15
380,233.23927810226408,9
381,1133.0983153402417,6
382,246.02217447764585,8
383,339.9353552651618,13
384,627.7478806426066,7
385,753.2492269856523,7
386,1154.8091912531115,7
387,623.2881039468183,8
388,377.94579228139276,14
389,459.904801616865,7
390,310.2360262644973,17
391,680.8321219068276,8
392,441.4959524066041,9
393,1015.1472328275037,6
394,485.1174312047265,10
395,335.6945598973838,18
396,954.0056334170239,7
397,1267.5237922352856,7
398,453.88799353002923,15
399,314.8727446326826,11
400,314.8727446326826,11
401,386.5095359623946,9
402,459.904801616865,7
403,226.2741911609465,13
404,485.1174312047265,10
405,548.0071773706934,16
406,458.9795888727709,14
407,256.2923324949311,9
408,602.6743622466205,8
409,393.7587862850277,18
410,414.4775788820872,8
411,1097.824622140282,8
412,137.81198056921838,13
413,523.8710373104624,7
414,1066.6858531574694,7
415,573.1773792308652,9
416,726.643333708701,8
417,369.8007701723595,9
418,523.8710373104624,7
419,412.44637962756445,9
420,671.79344862876,9
421,205.45320945242486,14
422,461.7845226338828,13
423,569.3142711315223,9
424,529.7990233625134,10
425,529.7990233625134,10
426,254.24862879120326,16
427,414.4775788820872,8
428,364.8577560137168,9
429,425.42621569562067,8
430,92.87860669578603,19
431,529.0682967035074,6
432,316.7888653566595,9
433,364.8577560137168,9
434,455.7253582709978,8
435,456.2561664003872,18
436,1144.2235114383745,6
437,453.1577747838018,10
438,259.0072692180865,19
439,118.2929017538991,14
440,753.2492269856523,7
441,926.6177991880844,9
442,538.9969007295215,12
443,298.9847770978615,11
444,493.87987945556375,9
445,621.5632811154065,7
446,220.16702873420488,15
447,137.81198056921838,13
448,607.4721939339469,12
449,538.9969007295215,12
450,81.83112686817977,18
451,538.9969007295215,12
452,406.19240883607205,14
453,264.76766159670115,10
454,648.7308929552075,8
455,219.82064559369468,12
456,511.74461973628297,20
457,406.19240883607205,14
458,1350.0147738454762,7
459,323.9688916936817,9
460,406.19240883607205,14
461,1350.0147738454762,7
462,842.5233704154506,8
463,314.1388093645707,19
464,480.9158412538783,8
465,243.53456155618957,14
466,839.4122336274105,9
467,476.63012160995186,18
468,515.2844230610126,19
469,461.96591759915736,18
470,397.3585243162676,8
471,156.69904100317447,20
472,202.8485571188264,10
473,753.2492269856523,7
474,418.6584433775585,19
475,818.8321745554463,8
476,202.8485571188264,10
477,585.7150234703204,7
478,753.2492269856523,7
479,397.3585243162676,8
480,515.2844230610126,19
481,1253.6650398206502,6
482,1056.8024837817409,6
483,539.8540555507307,15
484,163.17996088544854,12
485,558.1501197513231,10
486,706.6080668406279,8
487,447.7019134090166,9
488,316.7888653566595,9
489,543.1075739974948,9
490,1133.0983153402417,6
491,440.26686852211475,14
492,550.3678794666565,7
493,529.5141496344372,13
494,506.9598417517225,14
495,741.5852847599685,8
496,287.62842734299403,19
497,683.9756648007636,17
498,224.98735899368532,19
499,643.2970562466384,18
