,nearest stattion,number of stops within 2kms
0,497.7765045910459,16
1,Nothing within a 2km radius,0
2,1070.4242420950907,3
3,334.7240006798875,8
4,305.59820432202383,10
5,194.49459575207104,11
6,587.0675267758049,5
7,1092.5510937015079,3
8,387.60761948758693,8
9,140.8920595222288,20
10,Nothing within a 2km radius,0
11,387.60761948758693,8
12,1097.2678424028759,5
13,334.7240006798875,8
14,588.3260686805011,5
15,288.873967710149,9
16,1843.1423974179397,1
17,563.0410426677391,9
18,148.7436835084379,24
19,186.75640059178525,7
20,Nothing within a 2km radius,0
21,848.1511678942085,7
22,334.7240006798875,8
23,1430.0671164778446,5
24,1043.7811163582453,1
25,329.6712720708385,10
26,305.59820432202383,10
27,707.7066962572966,16
28,817.0739215884972,5
29,310.21551096031527,10
30,Nothing within a 2km radius,0
31,Nothing within a 2km radius,0
32,623.0057576042485,4
33,Nothing within a 2km radius,0
34,Nothing within a 2km radius,0
35,Nothing within a 2km radius,0
36,Nothing within a 2km radius,0
37,Nothing within a 2km radius,0
38,496.7488437617868,9
39,310.21551096031527,10
40,194.49459575207104,11
41,387.60761948758693,8
42,387.60761948758693,8
43,310.21551096031527,10
44,310.21551096031527,10
45,398.38796894580565,8
46,563.0410426677391,9
47,587.0675267758049,5
48,158.5151404919,8
49,201.6717287570775,11
50,1979.5812874041374,1
51,1187.7189206265093,3
52,946.0597723311516,7
53,158.5151404919,8
54,Nothing within a 2km radius,0
55,364.47629729161315,8
56,Nothing within a 2km radius,0
57,Nothing within a 2km radius,0
58,Nothing within a 2km radius,0
59,Nothing within a 2km radius,0
60,149.43087077016818,11
61,834.2083337645395,5
62,34.41481334725627,8
63,Nothing within a 2km radius,0
64,79.4896265471567,24
65,493.19684954623773,13
66,Nothing within a 2km radius,0
67,34.41481334725627,8
68,625.7703118713943,15
69,Nothing within a 2km radius,0
70,Nothing within a 2km radius,0
71,194.49459575207104,11
72,158.5151404919,8
73,274.1820233573264,11
74,288.873967710149,9
75,1739.8514426155816,1
76,34.41481334725627,8
77,707.7066962572966,16
78,712.9729315655052,6
79,387.60761948758693,8
80,853.7059313619184,4
81,194.49459575207104,11
82,707.7066962572966,16
83,305.59820432202383,10
84,158.5151404919,8
85,36.6000950858232,23
86,36.6000950858232,23
87,157.3502736917674,25
88,126.4139535155512,9
89,194.49459575207104,11
90,494.47395006052767,9
91,430.8980554817601,12
92,741.7958489350245,7
93,1007.4144747774,6
94,932.085160156391,3
95,149.43087077016818,11
96,1043.669328454503,2
97,Nothing within a 2km radius,0
98,79.4896265471567,24
99,79.4896265471567,24
100,Nothing within a 2km radius,0
101,1085.741156136017,5
102,447.8127159565423,9
103,447.8127159565423,9
104,686.9185780230213,3
105,79.4896265471567,24
106,Nothing within a 2km radius,0
107,Nothing within a 2km radius,0
108,647.6666705890016,7
109,329.6712720708385,10
110,158.5151404919,8
111,389.1913933637771,8
112,62.138112096362875,12
113,1025.9143073360933,6
114,62.138112096362875,12
115,838.5142088177906,9
116,127.72124550507955,23
117,62.138112096362875,12
118,488.03274235689634,7
119,Nothing within a 2km radius,0
120,838.5142088177906,9
121,397.5734637200163,4
122,1542.1528884808408,3
123,440.36516083853553,8
124,664.7460784479678,4
125,981.4592899842015,3
126,Nothing within a 2km radius,0
127,Nothing within a 2km radius,0
128,Nothing within a 2km radius,0
129,555.2723084529928,4
130,Nothing within a 2km radius,0
131,31.905035313574327,12
132,315.05914896592594,7
133,247.82866962833734,6
134,Nothing within a 2km radius,0
135,541.4314609273025,8
136,502.5804021090495,5
137,62.138112096362875,12
138,358.5689568113263,10
139,158.5151404919,8
140,167.4595679777992,25
141,183.87739909540682,19
142,79.4896265471567,24
143,1999.9128492903865,1
144,527.1311329707041,5
145,329.6712720708385,10
146,Nothing within a 2km radius,0
147,305.59820432202383,10
148,269.6378036603422,8
149,387.60761948758693,8
150,Nothing within a 2km radius,0
151,387.60761948758693,8
152,334.7240006798875,8
153,305.59820432202383,10
154,768.6445117019912,5
155,79.4896265471567,24
156,832.8083585283285,3
157,310.21551096031527,10
158,1102.4422513032343,2
159,Nothing within a 2km radius,0
160,34.41481334725627,8
161,194.49459575207104,11
162,Nothing within a 2km radius,0
