,nearest stattion,number of stops within 2kms
0,1144.2303097071742,5
1,1157.8474686002367,3
2,127.42554041227498,15
3,1163.4429067834724,3
4,1403.0060104808153,5
5,809.1965924465936,3
6,1422.4865376070723,1
7,1931.1803938638286,1
8,343.9944910679709,18
9,918.5316719078312,7
10,663.0257300000635,9
11,663.0257300000635,9
12,1314.8587495978472,1
13,419.0416578080055,18
14,1704.3846908049486,4
15,576.620982494697,17
16,305.4407360173257,15
17,1144.2303097071742,5
18,1144.2303097071742,5
19,1142.9646456913636,2
20,127.42554041227498,15
21,1533.747614552835,1
22,1058.7041304065879,8
23,256.90637947747786,16
24,1656.966551316647,1
25,Nothing within a 2km radius,0
26,Nothing within a 2km radius,0
27,420.45582445206435,4
28,Nothing within a 2km radius,0
29,Nothing within a 2km radius,0
30,Nothing within a 2km radius,0
31,761.1868221398183,11
32,420.45582445206435,4
33,Nothing within a 2km radius,0
34,498.6564519157037,11
35,1006.6147826728461,4
36,1144.2303097071742,5
37,Nothing within a 2km radius,0
38,698.8687896542954,3
39,420.45582445206435,4
40,459.980517727331,20
41,Nothing within a 2km radius,0
42,Nothing within a 2km radius,0
43,Nothing within a 2km radius,0
44,1964.6613370203736,1
45,1892.4566568532894,1
46,127.42554041227498,15
47,627.7403521102959,19
48,1486.4310465237547,5
49,1311.230525818766,1
50,420.45582445206435,4
51,420.45582445206435,4
52,1927.55591696356,1
53,296.4596027112085,3
54,1538.8567751383046,1
55,1132.0344116245274,3
56,127.42554041227498,15
57,127.42554041227498,15
58,935.4697311300764,8
59,1134.6813267902196,5
60,Nothing within a 2km radius,0
61,559.0811906799912,4
62,127.42554041227498,15
63,848.9093293655321,11
64,Nothing within a 2km radius,0
65,560.2116495069697,19
66,459.980517727331,20
67,1455.8876785516509,1
68,840.9695524424832,17
69,846.4512409797838,7
70,Nothing within a 2km radius,0
71,Nothing within a 2km radius,0
72,Nothing within a 2km radius,0
73,773.8398061743528,4
74,420.45582445206435,4
75,Nothing within a 2km radius,0
76,493.2320729833961,4
77,1702.2298322964978,4
78,Nothing within a 2km radius,0
79,428.77935637730627,8
80,Nothing within a 2km radius,0
81,1314.8587495978472,1
82,1314.8587495978472,1
83,493.2320729833961,4
84,Nothing within a 2km radius,0
85,1756.281113322005,1
86,560.2116495069697,19
87,848.9093293655321,11
88,278.1871469588935,18
89,1522.2445996118852,2
90,Nothing within a 2km radius,0
91,935.4697311300764,8
92,1134.6813267902196,5
93,289.7110046839627,3
94,1144.2303097071742,5
95,1854.33309538487,3
96,615.5817041165434,5
97,Nothing within a 2km radius,0
98,1964.6613370203736,1
99,1053.2128633150478,6
100,289.7110046839627,3
101,152.43613587350288,16
102,152.43613587350288,16
103,1134.6813267902196,5
104,1314.8240500064576,4
105,1527.520240018233,3
106,1829.9994743277798,2
107,Nothing within a 2km radius,0
108,Nothing within a 2km radius,0
109,493.2320729833961,4
110,961.8046782659851,7
111,627.7403521102959,19
112,1024.1120220840867,6
113,Nothing within a 2km radius,0
114,Nothing within a 2km radius,0
115,Nothing within a 2km radius,0
116,1899.9475352262987,1
117,1134.6813267902196,5
118,945.5037674328253,3
119,1749.2589504013442,1
120,493.2320729833961,4
121,1533.747614552835,1
122,Nothing within a 2km radius,0
123,546.5320632329945,18
124,256.90637947747786,16
125,398.2342040965196,13
126,398.2342040965196,13
127,Nothing within a 2km radius,0
128,590.8907829171698,19
129,609.489238814535,13
130,1016.8785299647445,6
131,1409.5951020545224,4
132,1364.1732359110122,3
133,Nothing within a 2km radius,0
134,Nothing within a 2km radius,0
135,721.8604721852693,18
136,Nothing within a 2km radius,0
137,1647.906031840819,1
138,Nothing within a 2km radius,0
139,Nothing within a 2km radius,0
140,1753.107115059264,1
141,848.9093293655321,11
142,1024.1120220840867,6
143,840.9695524424832,17
144,Nothing within a 2km radius,0
145,1543.0560970129131,1
146,665.8184759226536,4
147,1986.0483779474948,1
148,1892.4566568532894,1
149,Nothing within a 2km radius,0
150,1409.722802120172,1
151,848.9093293655321,11
152,1875.045790665159,1
153,609.489238814535,13
154,1830.9813442427248,1
155,127.42554041227498,15
156,1013.3288491438449,5
157,758.5487205995599,6
158,152.43613587350288,16
159,525.581628351527,17
160,Nothing within a 2km radius,0
161,416.08553316511984,4
162,1058.7041304065879,8
163,431.0979321007641,4
164,1960.6913174862361,1
165,490.1812576928001,6
166,1986.0483779474948,1
167,1016.8785299647445,6
168,1875.045790665159,1
169,Nothing within a 2km radius,0
170,1986.0483779474948,1
171,809.1965924465936,3
172,986.1642893540746,5
173,1690.1737446214024,1
174,1986.0483779474948,1
175,1422.5067527878189,1
176,Nothing within a 2km radius,0
177,1694.0497196074064,2
178,1428.1057458422854,3
179,1986.0483779474948,1
180,1204.016264126676,2
181,1756.281113322005,1
182,897.096619904063,3
183,780.2960769240948,6
184,696.3534851711698,4
185,1364.1732359110122,3
186,765.2271706292713,5
187,1391.5839077775543,2
188,493.2320729833961,4
189,438.6319058633132,6
190,848.9093293655321,11
191,1364.1732359110122,3
192,Nothing within a 2km radius,0
193,1409.722802120172,1
194,1315.2996602102885,3
195,683.2895597987246,17
196,420.45582445206435,4
197,1203.9446085841973,2
198,1144.2303097071742,5
199,Nothing within a 2km radius,0
200,1756.281113322005,1
201,289.7110046839627,3
202,1134.6813267902196,5
203,1201.818727673267,3
204,Nothing within a 2km radius,0
205,1293.201399825322,4
206,Nothing within a 2km radius,0
207,1314.8587495978472,1
208,Nothing within a 2km radius,0
209,1627.9532486294515,2
210,Nothing within a 2km radius,0
211,Nothing within a 2km radius,0
212,1239.3948439867738,3
213,665.8184759226536,4
214,1422.5067527878189,1
215,1263.638362578054,2
216,1610.8075290381253,2
217,1311.230525818766,1
218,463.37638904737736,11
219,289.7110046839627,3
220,1981.705672645292,1
221,289.7110046839627,3
222,1048.346950597451,3
223,1960.5239028692947,1
224,1851.7863964252165,1
225,499.17811349870783,4
226,499.17811349870783,4
227,Nothing within a 2km radius,0
228,1854.33309538487,3
229,Nothing within a 2km radius,0
230,691.8375590531775,5
231,Nothing within a 2km radius,0
232,1359.94860257452,5
233,1255.0136035704843,5
234,Nothing within a 2km radius,0
235,717.0203504521164,13
236,283.46081463587007,15
237,452.1257046815409,4
238,1293.201399825322,4
239,493.2320729833961,4
240,628.3697737904854,8
241,Nothing within a 2km radius,0
242,815.1047440674079,16
243,Nothing within a 2km radius,0
244,1336.248288196393,4
245,1961.6171098635286,1
246,Nothing within a 2km radius,0
247,Nothing within a 2km radius,0
248,1619.1786682778393,2
249,Nothing within a 2km radius,0
250,1306.7021427929988,5
251,1093.185983653307,4
252,431.0979321007641,4
253,696.3534851711698,4
254,562.298408643597,4
255,Nothing within a 2km radius,0
256,717.7767169700398,7
257,1163.4429067834724,3
258,897.096619904063,3
259,Nothing within a 2km radius,0
260,Nothing within a 2km radius,0
261,1582.9845767735653,3
262,1382.353490360612,2
263,381.6369424282849,14
264,1641.081186172312,3
265,743.0336404885236,8
266,331.49469823188986,4
267,1352.2079163402461,2
268,199.5611401969309,16
269,Nothing within a 2km radius,0
270,381.6369424282849,14
271,1641.081186172312,3
272,1641.081186172312,3
273,167.96018041662907,3
274,1822.3006890255683,1
275,1920.5938173821287,1
276,1961.6171098635286,1
277,625.345949331088,17
278,193.5957723363479,3
279,Nothing within a 2km radius,0
280,1934.1487854968218,1
281,Nothing within a 2km radius,0
282,1500.5687515903544,3
283,1900.6091162085245,1
284,Nothing within a 2km radius,0
285,1961.6171098635286,1
286,230.79108945257494,3
287,546.5320632329945,18
288,127.42554041227498,15
289,959.2235185509767,6
290,543.1305802967804,4
291,Nothing within a 2km radius,0
292,546.5320632329945,18
293,Nothing within a 2km radius,0
294,1927.55591696356,1
295,493.2320729833961,4
296,Nothing within a 2km radius,0
297,Nothing within a 2km radius,0
298,802.166170848809,4
299,478.5256666049734,18
300,Nothing within a 2km radius,0
301,Nothing within a 2km radius,0
302,469.00449979245985,18
303,676.6519083901002,17
304,1134.6813267902196,5
305,Nothing within a 2km radius,0
306,1365.083830672581,3
307,1961.6171098635286,1
308,Nothing within a 2km radius,0
309,1513.79236056445,5
310,127.42554041227498,15
311,Nothing within a 2km radius,0
312,Nothing within a 2km radius,0
313,Nothing within a 2km radius,0
314,1641.081186172312,3
315,230.79108945257494,3
316,452.1257046815409,4
317,Nothing within a 2km radius,0
318,876.3161193474044,8
319,1960.6913174862361,1
320,1830.341670123085,1
321,1641.081186172312,3
322,1959.8361046200748,1
323,Nothing within a 2km radius,0
324,Nothing within a 2km radius,0
325,1849.7116415126231,1
326,Nothing within a 2km radius,0
327,Nothing within a 2km radius,0
328,127.42554041227498,15
329,435.8245757404347,14
330,127.42554041227498,15
331,499.17811349870783,4
332,574.0710206849318,9
333,Nothing within a 2km radius,0
334,664.4106443883351,7
335,1510.5298159607005,3
336,Nothing within a 2km radius,0
337,Nothing within a 2km radius,0
338,431.0979321007641,4
339,Nothing within a 2km radius,0
340,918.5316719078312,7
341,Nothing within a 2km radius,0
342,1892.4566568532894,1
343,977.5101759914932,4
344,824.7647638681335,7
345,357.8242928340294,6
346,1929.2819740605635,3
347,742.9399999712795,5
348,1265.5213268519487,5
349,1961.6171098635286,1
350,809.1965924465936,3
351,1422.5067527878189,1
352,1011.4177306051541,5
353,1827.0301204476884,1
354,Nothing within a 2km radius,0
355,Nothing within a 2km radius,0
356,1961.6171098635286,1
357,202.8178780276606,3
358,1641.081186172312,3
359,Nothing within a 2km radius,0
360,1871.736330111935,1
361,Nothing within a 2km radius,0
362,480.50347045574114,13
363,420.45582445206435,4
364,431.0979321007641,4
365,1641.081186172312,3
366,1989.3559538937204,1
367,468.11113601851116,10
368,1351.0470353285168,3
369,1314.8587495978472,1
370,893.1880977737344,13
371,Nothing within a 2km radius,0
372,852.6278549796903,5
373,950.5649850519762,9
374,1378.2485729960586,3
375,1937.9666155437421,1
376,798.7248177862487,7
377,1961.6171098635286,1
378,872.8268429523008,7
379,Nothing within a 2km radius,0
380,693.790040882622,7
381,693.790040882622,7
382,1647.906031840819,1
383,935.4697311300764,8
384,1786.0581556882232,4
385,1854.33309538487,3
386,1250.689407861376,4
387,1500.5687515903544,3
388,1016.8785299647445,6
389,1934.1487854968218,1
390,1486.737121220627,2
391,1641.081186172312,3
392,1293.201399825322,4
393,1082.3289795107137,3
394,1957.8842441012569,1
395,Nothing within a 2km radius,0
396,1704.3846908049486,4
397,1314.8587495978472,1
398,Nothing within a 2km radius,0
399,1472.78451010446,5
400,Nothing within a 2km radius,0
401,1049.9292898859796,11
402,Nothing within a 2km radius,0
403,Nothing within a 2km radius,0
404,1378.2485729960586,3
405,420.45582445206435,4
406,1641.081186172312,3
407,Nothing within a 2km radius,0
408,1641.081186172312,3
409,1315.2996602102885,3
410,1968.8433827533615,1
411,1510.5298159607005,3
412,1702.2298322964978,4
413,1832.6443480159535,1
414,Nothing within a 2km radius,0
415,1641.081186172312,3
416,Nothing within a 2km radius,0
417,780.2960769240948,6
418,420.45582445206435,4
419,Nothing within a 2km radius,0
420,Nothing within a 2km radius,0
421,1641.081186172312,3
422,Nothing within a 2km radius,0
423,1653.781778218116,1
424,1704.3846908049486,4
425,232.07493114765632,17
426,232.07493114765632,17
427,804.3613474985856,8
428,255.44878343451296,19
429,463.5824351952345,21
430,353.6073765174659,18
431,545.9579709952853,13
432,545.9579709952853,13
433,442.4576632051761,18
434,747.9494585527106,8
435,804.3613474985856,8
436,747.9494585527106,8
437,363.0952620554361,17
438,375.81493546313857,17
439,571.50417387739,19
440,753.2492269856523,7
441,220.16702873420488,15
442,162.70507795931243,15
443,363.0952620554361,17
444,220.16702873420488,15
445,610.8487338158185,4
446,753.2492269856523,7
447,753.2492269856523,7
448,487.11763416249374,16
449,597.5434983274678,9
450,1031.0226995820108,10
451,248.56210411250166,10
452,720.2692854607947,8
453,597.5434983274678,9
454,338.47328242210176,12
455,222.25237651772198,13
456,517.7842270681824,13
457,597.5434983274678,9
458,720.2692854607947,8
459,200.0835510910363,12
460,597.5434983274678,9
461,612.46509183692,9
462,597.5434983274678,9
463,597.5434983274678,9
464,150.00303420151573,12
465,150.00303420151573,12
466,219.38424195848458,10
467,289.01582646898277,13
468,532.7935631526453,10
469,720.2692854607947,8
470,289.01582646898277,13
471,597.5434983274678,9
472,200.0835510910363,12
473,383.69539275483396,14
474,306.9408497620968,14
475,612.46509183692,9
476,590.4293656440765,10
477,612.46509183692,9
478,612.46509183692,9
479,424.7744811649928,14
480,282.6044305362692,12
481,424.7744811649928,14
482,612.46509183692,9
483,612.46509183692,9
484,612.46509183692,9
485,523.3190381932267,11
486,612.46509183692,9
487,846.1303143951,10
488,818.0326935846211,9
489,612.46509183692,9
490,612.46509183692,9
491,256.80852358832675,9
492,278.0817182971933,9
493,506.17237330169837,10
494,511.83653565638053,11
495,651.5108624284946,11
496,612.46509183692,9
497,612.46509183692,9
498,307.75310534984953,14
499,147.08330166516384,12
500,307.75310534984953,14
501,426.1255049024679,9
502,612.46509183692,9
503,612.46509183692,9
504,818.0326935846211,9
505,566.6843384850481,10
506,213.34006380977482,12
507,612.46509183692,9
508,200.0835510910363,12
509,590.4293656440765,10
510,304.7549838990462,17
511,506.17237330169837,10
512,85.7620986162032,12
513,566.6843384850481,10
514,532.7935631526453,10
515,147.08330166516384,12
516,147.08330166516384,12
517,566.6843384850481,10
518,612.46509183692,9
519,612.46509183692,9
520,454.5238205521085,15
521,518.2713086684772,15
522,612.46509183692,9
523,147.08330166516384,12
524,812.8503678316962,10
525,370.00394588336354,15
526,281.06332586714825,12
527,566.6843384850481,10
528,219.38424195848458,10
529,566.6843384850481,10
530,443.94405372485085,12
531,333.7426267016699,8
532,710.0631356446029,11
533,147.08330166516384,12
534,597.5434983274678,9
535,597.5434983274678,9
536,741.4222570394497,10
537,397.03434375845717,11
538,532.7935631526453,10
539,532.7935631526453,10
540,597.5434983274678,9
541,720.2692854607947,8
542,597.5434983274678,9
543,612.46509183692,9
544,148.87256282937187,13
545,612.46509183692,9
546,566.6843384850481,10
547,597.5434983274678,9
548,147.08330166516384,12
