nearest stattion,number of stops within 2kms
1076.475812,3
639.4399604,2
323.9693504,3
0,0
1282.63633,4
1029.36267,3
1391.561628,5
1391.561628,5
1873.079627,1
904.0658912,2
904.0658912,2
861.5072327,2
1052.137087,1
946.1185773,2
941.6984577,5
573.4491027,2
946.1185773,2
208.7828048,2
667.8170912,1
957.8354465,2
1498.589691,1
617.702502,3
0,0
885.5104726,2
1724.015497,2
905.186761,2
0,0
639.4399604,2
1029.36267,3
667.8170912,1
738.7427307,3
758.7258489,3
1498.589691,1
730.8840788,2
243.3555596,2
861.5072327,2
1631.832211,2
726.060507,3
1029.36267,3
726.060507,3
1909.193762,1
0,0
1213.713498,4
1308.641092,4
1119.688079,4
904.0142164,3
159.1210728,2
1603.096564,1
853.0639417,3
1320.038453,1
1498.186109,3
833.4232141,3
1126.178155,3
349.740101,3
159.1210728,2
1082.862789,2
1228.644583,4
691.0832878,3
1038.243943,2
766.9487165,3
1195.757812,2
0,0
1195.757812,2
1130.710682,3
209.185044,4
368.7385611,3
368.7385611,3
243.3555596,2
0,0
681.716918,3
331.6995535,4
157.0198481,5
776.3247762,3
1366.493354,2
934.1826323,3
511.2885572,3
243.3555596,2
777.9287336,3
1109.152572,2
934.1826323,3
243.3555596,2
621.6713593,1
208.7828048,2
667.8170912,1
208.7828048,2
983.5215771,1
1806.609593,1
580.0045073,3
1002.812793,3
208.7828048,2
599.6657311,4
1806.609593,1
349.740101,3
1002.812793,3
1776.469162,1
946.1185773,2
278.3086675,2
1926.664586,1
617.702502,3
243.3555596,2
627.7023645,3
677.867343,3
921.5526462,5
738.7427307,3
758.7258489,3
1071.156475,3
739.320846,3
1071.156475,3
0,0
1071.156475,3
1134.634452,3
